cor,se,CI
0.4993881567643198,0.023772103734575122,1
0.5132058238817099,0.023328982575536044,1
0.5174691151886615,0.023189821061293504,1
0.503659063499718,0.023636430591158372,1
0.5303603281559208,0.022762024980331006,1
0.5189387587400475,0.02314158241209204,1
0.5095594832120344,0.023447092298348945,1
0.48701211193422345,0.024158726547781093,1
0.49806664120136007,0.023813850028503114,1
0.49667856337052463,0.023857579889125076,1
0.46260678202559036,0.024892710307169722,1
0.4849582266010989,0.024221950497898447,1
0.46481602886433804,0.0248278208058382,1
0.5329386253762944,0.022675200780869854,1
0.5063578913257479,0.02355010167980221,1
0.4827959764902667,0.02428822148128546,1
0.5259148909300495,0.02291073628845188,1
0.4932056647252691,0.023966455081238045,1
0.4602987461441798,0.024960171221710986,1
0.5453663677765008,0.02225079012461318,0
0.5306167287079094,0.022753409542175994,1
0.5252559744406082,0.022932672221509676,1
0.5324624159584912,0.022691268843571855,1
0.49322866906743124,0.023965736409743473,1
0.47864367608683395,0.024414655288614275,1
0.46126280134198916,0.024932034164948047,1
0.4497598659194565,0.025263921198502327,0
0.5189976092136287,0.023139647892590032,1
0.4770379966437915,0.02446325397445894,1
0.48642172637494446,0.024176927519969627,1
0.5213056117888271,0.023063606746650134,1
0.48767126793449994,0.02413837936945839,1
0.5416896037729368,0.022377371579241464,1
0.5180315839229092,0.023171375103789776,1
0.5053337661648726,0.023582915260610595,1
0.506192142590766,0.02355541687399018,1
0.5375187216087289,0.022519927620999455,1
0.5428635205262539,0.022337049719814053,1
0.5085493394693054,0.023479663201393924,1
0.5083923881557336,0.02348471811157892,1
0.4959718776195387,0.023879796361212898,1
0.47657106055872417,0.0244773559587268,1
0.5033895890132941,0.023645025089387404,1
0.4600599957173053,0.024967130332000407,1
0.554956024765025,0.02191661397913565,0
0.523518493363041,0.022990382691388644,1
0.515425449455772,0.02325667365722575,1
0.5185758879189571,0.02315350577340787,1
0.5071346688397513,0.02352516896145553,1
0.5041142199266109,0.023621903591006133,1
0.5146159074175511,0.02328308232475109,1
0.49013530375240033,0.024062074476198323,1
0.5376577430723835,0.022515193776076994,1
0.4976883429175691,0.023825779996558934,1
0.4530785649517436,0.025169029039731165,1
0.5080394385188151,0.023496079814138524,1
0.4538897739598945,0.025145727892061764,1
0.5367863588722649,0.022544845225548168,1
0.49904003104161765,0.023783111657207926,1
0.5531870231359651,0.021978697520204857,0
0.4951024493116451,0.023907085662954557,1
0.5162097124000954,0.02323105005095544,1
0.4989424672920722,0.023786195298330124,1
0.5077418530944457,0.02350565317184403,1
0.4968055897322158,0.023853583136911865,1
0.4880175836800722,0.024127678082717097,1
0.4967658067467685,0.023854834977049086,1
0.5172504047035262,0.02319698818114297,1
0.4949314325524644,0.023912447840018634,1
0.5053016408707577,0.02358394349954084,1
0.45948847746069993,0.02498377431089998,1
0.4930743240840523,0.02397055761132393,1
0.5003026417410162,0.02374315065987841,1
0.4971849257528165,0.023841641640699164,1
0.528994416613199,0.02280785145107696,1
0.5191494791068285,0.023134654646177918,1
0.46882224729350525,0.024709362451944772,1
0.4875580051752444,0.024141877582763233,1
0.5067205131426759,0.023538467134682627,1
0.48751952861792697,0.02414306577791986,1
0.4790999890399507,0.02440081438303497,1
0.4965929552448943,0.023860272883162108,1
0.48498381242616506,0.024221164542991152,1
0.494415578552097,0.023928611059478008,1
0.48824552527186543,0.024120630456278536,1
0.5006603985694098,0.023731809475932942,1
0.47280881570345407,0.02459047598561737,1
0.5096576624429022,0.02344392317774286,1
0.4471930264029016,0.025336836851943902,0
0.4834512020930127,0.024268170689891903,1
0.49900043873853506,0.02378436310097089,1
0.43918464230566756,0.025561647108561885,0
0.500222207497372,0.023745699374922918,1
0.47332569434521643,0.024574988037283033,1
0.5269973609919038,0.022874640170767055,1
0.49156791770651975,0.0240175332863872,1
0.5145410378514529,0.023285522602985238,1
0.531682181293774,0.02271756415427476,1
0.4800161732246875,0.024372984817845184,1
0.5038770772683149,0.023629473992054388,1
0.5192388738860062,0.023131714801504933,1
0.4811201119315761,0.02433938148489133,1
0.4791988560121575,0.02439781380711479,1
0.5076049296068446,0.02351005613215282,1
0.51468088373463,0.023280964216601665,1
0.45872818398477244,0.025005883807458055,1
0.5065022828047748,0.023545469947180236,1
0.47069034248407904,0.024653777910482153,1
0.5317026974247031,0.02271687321741284,1
0.4587250908928601,0.02500597368045032,1
0.4752431984624445,0.024517383379044525,1
0.4828159421032102,0.02428761090815825,1
0.5474857260418193,0.022177437072751775,0
0.5414346822209551,0.022386116125277272,1
0.47442058459557523,0.024542124440202377,1
0.5205420803096859,0.023088799962166066,1
0.4913318091581714,0.024024883049577006,1
0.5161214710720496,0.023233935035578628,1
0.4546540399006793,0.025123737002254315,1
0.46871819358860045,0.024712452035744098,1
0.5508199743841888,0.022061459610256684,0
0.4729968249805598,0.024584844362277317,1
0.5169707630930069,0.023206147594058806,1
0.5111744423700325,0.023394885565694287,1
0.5165137456319172,0.02322110613331005,1
0.5023461390388816,0.023678261026763823,1
0.507453364868389,0.023514928516952,1
0.5042099724237673,0.023618845835781496,1
0.5179634653271347,0.023173610094835595,1
0.4887983142257633,0.024103525347997635,1
0.5009670653545949,0.023722081435088065,1
0.5430663709977311,0.022330073338180507,1
0.5042453665145923,0.023617715415732793,1
0.5573631337933742,0.021831817542943326,0
0.48548674501424305,0.024205706854105353,1
0.4655234157927027,0.02480697825421707,1
0.48348015193972954,0.024267284158063233,1
0.488524516732541,0.024111999962126172,1
0.49308150099532927,0.02397033346297582,1
0.46907948293409363,0.024701721615583195,1
0.4651459479497998,0.02481810396581592,1
0.4709329883324842,0.024646541844863677,1
0.46327493179091683,0.024873118172924622,1
0.5337206969919956,0.022648781275756952,1
0.5321743860567142,0.022700980458897728,1
0.5137060711903317,0.023312713219395494,1
0.5317988553308861,0.022713634481423415,1
0.5037821939504853,0.023632501992874057,1
0.5150997611783994,0.023267303165362747,1
0.5322370980275851,0.022698866422686103,1
0.5028637489715142,0.023661782750698808,1
0.49362217793014584,0.023953437731005812,1
0.5135028059804871,0.023319325849614544,1
0.46633604946738705,0.02478299557730578,1
0.5077817688809312,0.023504369402083294,1
0.47927906371105033,0.024395379078329768,1
0.4893837335728077,0.02408538944517964,1
0.5001842782491647,0.0237469010945495,1
0.5165320920240897,0.023220505896416544,1
0.5107016386321099,0.02341018697935066,1
0.5231420740037112,0.023002860267698624,1
0.49469829859166553,0.02391975469851889,1
0.5045625019823523,0.02360758317039297,1
0.5198650054201859,0.023111109595351762,1
0.4803723711828334,0.02436215076829412,1
0.5106238126441002,0.023412704315533942,1
0.5086302924611801,0.023477055349157356,1
0.5281715216438089,0.022835402617490026,1
0.5321062109129645,0.022703278377430403,1
0.4787663222093683,0.024410936476800926,1
0.5286908637204446,0.02281801963181466,1
0.4918831920125967,0.02400771368691139,1
0.5214528254009437,0.0230587450920338,1
0.5398412940352807,0.022440680673977094,1
0.4941985694969829,0.023935405553145075,1
0.5017024976617998,0.023698727882434274,1
0.49569799796923947,0.023888397962470255,1
0.5221841079455147,0.023034574512255303,1
0.48346283778705107,0.024267814376143376,1
0.5203484841418279,0.02309518192468078,1
0.4737435699891472,0.024562454281678026,1
0.4966955164559991,0.023857046537041245,1
0.4805124593349628,0.024357887671782142,1
0.5038507369992177,0.023630314643325528,1
0.45080284103406,0.02523417439356349,0
0.4976594708643191,0.023826690129760703,1
0.508138359054681,0.0234928962868055,1
0.483277889529082,0.024273476934373255,1
0.5129733202408604,0.023336538808912507,1
0.5000152584417082,0.02375225507366169,1
0.514892646054336,0.023274059299404692,1
0.4737966871006613,0.02456086029553542,1
0.5097766519177328,0.023440081506324473,1
0.5041989139840499,0.023619199005077637,1
0.513200598871825,0.02332915242293412,1
0.4758537566681271,0.02449899242392598,1
